"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","pid","gunKey","nogunKey","leftObj","rightObj","stimulus","correct","constrast","objType","faceId","objId"
"","","sequential-priming","19","56220","0.0-2.0-17.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-038-003-N.png"",""./GrayGuns/gun_14.png"",""MaskReal.png""]","","low","gun","WM-038-003-N.png","gun_14.png"
"","","sequential-priming","20","59129","0.0-2.0-18.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-250-157-N.png"",""./GrayNonguns/keys_1.png"",""MaskReal.png""]","","high","nogun","WM-250-157-N.png","keys_1.png"
"","","sequential-priming","21","62036","0.0-2.0-19.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-001-0140-N.png"",""./GrayNonguns/tool_6.png"",""MaskReal.png""]","","low","nogun","WM-001-0140-N.png","tool_6.png"
"","","sequential-priming","22","64943","0.0-2.0-20.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-242-011-N.png"",""./GrayGuns/gun_16.png"",""MaskReal.png""]","","low","gun","WM-242-011-N.png","gun_16.png"
"","","sequential-priming","23","67852","0.0-2.0-21.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-249-239-N.png"",""./GrayNonguns/tool_4.png"",""MaskReal.png""]","","high","nogun","WM-249-239-N.png","tool_4.png"
"","","sequential-priming","24","70762","0.0-2.0-22.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-019-003-N.png"",""./GrayGuns/gun_6.png"",""MaskReal.png""]","","high","gun","WM-019-003-N.png","gun_6.png"
"","","sequential-priming","25","73669","0.0-2.0-23.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-010-001-N.png"",""./GrayGuns/gun_17.png"",""MaskReal.png""]","","high","gun","WM-010-001-N.png","gun_17.png"
"","","sequential-priming","26","76577","0.0-2.0-24.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-004-010-N.png"",""./GrayNonguns/wallet_6.png"",""MaskReal.png""]","","high","nogun","WM-004-010-N.png","wallet_6.png"
"","","sequential-priming","27","79486","0.0-2.0-25.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-034-030-N.png"",""./GrayGuns/gun_11.png"",""MaskReal.png""]","","high","gun","WM-034-030-N.png","gun_11.png"
"","","sequential-priming","28","82392","0.0-2.0-26.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-036-031-N.png"",""./GrayGuns/gun_8.png"",""MaskReal.png""]","","high","gun","WM-036-031-N.png","gun_8.png"
"","","sequential-priming","29","85300","0.0-2.0-27.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-033-025-N.png"",""./GrayNonguns/tool_1.png"",""MaskReal.png""]","","high","nogun","WM-033-025-N.png","tool_1.png"
"","","sequential-priming","30","88208","0.0-2.0-28.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-257-161-N.png"",""./GrayGuns/gun_2.png"",""MaskReal.png""]","","high","gun","WM-257-161-N.png","gun_2.png"
"","","sequential-priming","31","91116","0.0-2.0-29.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-257-161-N.png"",""./GrayGuns/gun_18.png"",""MaskReal.png""]","","low","gun","WM-257-161-N.png","gun_18.png"
