"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","pid","gun_key","nogun_key","left_obj","right_obj","stimulus","correct","constrast","obj_type","face_id","obj_id"
"","","sequential-priming","12","36991","0.0-2.0-10.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/WM-225-127-N.png"",""./GrayNonguns/cell_3.png"",""MaskReal.png""]","","low","nogun","WM-225-127-N.png","cell_3.png"
"","","sequential-priming","13","39900","0.0-2.0-11.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/WM-257-161-N.png"",""./GrayGuns/gun_7.png"",""MaskReal.png""]","","high","gun","WM-257-161-N.png","gun_7.png"
"","","sequential-priming","14","42809","0.0-2.0-12.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/WM-225-127-N.png"",""./GrayNonguns/wallet_2.png"",""MaskReal.png""]","","high","nogun","WM-225-127-N.png","wallet_2.png"
"","","sequential-priming","15","45716","0.0-2.0-13.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/WM-258-125-N.png"",""./GrayNonguns/tool_2.png"",""MaskReal.png""]","","low","nogun","WM-258-125-N.png","tool_2.png"
"","","sequential-priming","16","48624","0.0-2.0-14.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/WM-258-125-N.png"",""./GrayNonguns/keys_3.png"",""MaskReal.png""]","","high","nogun","WM-258-125-N.png","keys_3.png"
"","","sequential-priming","17","51530","0.0-2.0-15.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/WM-032-001-N.png"",""./GrayGuns/gun_1.png"",""MaskReal.png""]","","low","gun","WM-032-001-N.png","gun_1.png"
"","","sequential-priming","18","54438","0.0-2.0-16.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/WM-015-002-N*.png"",""./GrayNonguns/keys_5.png"",""MaskReal.png""]","","low","nogun","WM-015-002-N*.png","keys_5.png"
"","","sequential-priming","19","57345","0.0-2.0-17.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/WM-026-001-N.png"",""./GrayGuns/gun_10.png"",""MaskReal.png""]","","low","gun","WM-026-001-N.png","gun_10.png"
"","","sequential-priming","20","60251","0.0-2.0-18.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/WM-251-002-N.png"",""./GrayNonguns/keys_4.png"",""MaskReal.png""]","","high","nogun","WM-251-002-N.png","keys_4.png"
"","","sequential-priming","21","63160","0.0-2.0-19.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/WM-254-152-N.png"",""./GrayGuns/gun_6.png"",""MaskReal.png""]","","high","gun","WM-254-152-N.png","gun_6.png"
"","","sequential-priming","22","66068","0.0-2.0-20.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/WM-257-161-N.png"",""./GrayGuns/gun_2.png"",""MaskReal.png""]","","low","gun","WM-257-161-N.png","gun_2.png"
"","","sequential-priming","23","68976","0.0-2.0-21.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/WM-012-001-N.png"",""./GrayGuns/gun_18.png"",""MaskReal.png""]","","high","gun","WM-012-001-N.png","gun_18.png"
"","","sequential-priming","24","71883","0.0-2.0-22.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/WM-014-002-N*.png"",""./GrayGuns/gun_19.png"",""MaskReal.png""]","","low","gun","WM-014-002-N*.png","gun_19.png"
"","","sequential-priming","25","74789","0.0-2.0-23.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/WM-034-030-N.png"",""./GrayGuns/gun_13.png"",""MaskReal.png""]","","high","gun","WM-034-030-N.png","gun_13.png"
"","","sequential-priming","26","77698","0.0-2.0-24.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/WM-019-003-N.png"",""./GrayNonguns/tool_8.png"",""MaskReal.png""]","","low","nogun","WM-019-003-N.png","tool_8.png"
"","","sequential-priming","27","80606","0.0-2.0-25.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/WM-006-002-N.png"",""./GrayGuns/gun_17.png"",""MaskReal.png""]","","low","gun","WM-006-002-N.png","gun_17.png"
"","","sequential-priming","28","83517","0.0-2.0-26.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/WM-010-001-N.png"",""./GrayNonguns/keys_6.png"",""MaskReal.png""]","","high","nogun","WM-010-001-N.png","keys_6.png"
"","","sequential-priming","29","86424","0.0-2.0-27.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/WM-004-010-N.png"",""./GrayNonguns/tool_5.png"",""MaskReal.png""]","","low","nogun","WM-004-010-N.png","tool_5.png"
"","","sequential-priming","30","89333","0.0-2.0-28.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/WM-039-018-N.png"",""./GrayNonguns/cell_5.png"",""MaskReal.png""]","","high","nogun","WM-039-018-N.png","cell_5.png"
"","","sequential-priming","31","92239","0.0-2.0-29.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/WM-252-224-N.png"",""./GrayNonguns/wallet_4.png"",""MaskReal.png""]","","low","nogun","WM-252-224-N.png","wallet_4.png"
